Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
Jalen Hood-Schifino,PHI,21,15,315,21,0.3,0.7,1.1,0.1,0.1,0.3,50,50,0,1.1,1,2.1
Vit Krejci,ATL,24,54,1134,21,0.1,0.4,1.1,0.2,0.2,0.4,57.1,42.9,0.02,2.5,1.5,4
Jusuf Nurkić,CHA,30,51,1060.8,20.8,3.4,7.9,1.9,0.4,0.3,0.8,56.4,43.6,0,4.5,1.7,6.2
Matisse Thybulle,POR,28,15,312,20.8,0.5,1.1,4,0,0.4,0.4,0,100,0,0.5,1,1.5
Precious Achiuwa,NYK,25,56,1164.8,20.8,2,4.6,1.4,0.3,0.2,0.5,60,40,0,3.8,2,5.8
Svi Mykhailiuk,UTA,28,36,748.8,20.8,0.3,0.8,1.6,0.3,0.1,0.4,66.7,33.3,0,1.3,1.1,2.4
Jonathan Mogbo,TOR,23,62,1283.4,20.7,0.9,2.1,2.5,0.2,0.2,0.4,57.7,42.3,0,2.4,1.6,4
Tidjane Sala�n,CHA,19,60,1242,20.7,0.5,1.1,1.2,0.1,0.2,0.3,30,70,0.07,1.4,1.2,2.6
Jake LaRavia,SAC,23,64,1318.4,20.6,0.2,0.5,2.2,0.3,0.4,0.7,39.5,60.5,0,1.4,1.6,3
Brice Sensabaugh,UTA,21,68,1387.2,20.4,0.2,0.4,1.2,0.1,0.3,0.4,37,63,0.01,1.1,1.3,2.4
Dalton Knecht,LAL,24,71,1448.4,20.4,0.2,0.3,0.5,0.1,0.2,0.3,22.2,77.8,0,1.3,1.4,2.7
Goga Bitadze,ORL,25,70,1428,20.4,2.4,5.3,1.7,0.2,0.2,0.4,48.1,51.9,0,4.4,2,6.4
Eric Gordon,PHI,36,37,751.1,20.3,0.3,0.8,1.4,0.1,0.1,0.3,50,50,0,0.7,1,1.7
Jamal Shead,TOR,22,70,1421,20.3,0.1,0.3,1.7,0.1,0.2,0.4,32,68,0.11,0.7,1,1.7
Kelly Olynyk,NOP,34,44,893.2,20.3,1.1,2.6,2.2,0.2,0.1,0.3,69.2,30.8,0.09,2.8,1.6,4.4
A.J. Lawson,TOR,24,24,484.8,20.2,0.3,0.8,1.1,0.1,0.2,0.3,28.6,71.4,0,1.2,0.9,2
De'Anthony Melton,BKN,27,6,121.2,20.2,0.3,0.7,2.5,0.3,0.2,0.5,66.7,33.3,0,0.5,0.7,1.2
Matas Buzelis,CHI,20,74,1487.4,20.1,0.4,0.9,0.8,0.2,0.2,0.3,53.8,46.2,0.01,3.2,1.9,5.1
Tre Jones,CHI,25,43,864.3,20.1,0.1,0.3,1.5,0.2,0.2,0.3,50,50,0.07,0.8,0.7,1.6
Marcus Smart,WAS,31,34,680,20,0.2,0.6,2.3,0.3,0.3,0.7,47.8,52.2,0.15,1,1.3,2.3
Isaiah Stewart,DET,24,72,1432.8,19.9,2.8,7,0.7,0.2,0.2,0.4,51.9,48.1,0,6.7,2,8.7
Kessler Edwards,DAL,24,30,597,19.9,1.4,3.2,1.2,0.1,0.2,0.2,28.6,71.4,0,3.6,1.4,5
Ty Jerome,CLE,27,70,1393,19.9,0.3,0.6,2.3,0.1,0.2,0.4,36,64,0,0.8,1.2,2
Donovan Clingan,POR,21,67,1326.6,19.8,2.7,6.4,1.1,0.1,0.1,0.2,56.3,43.8,0,7.3,2.5,9.7
Johnny Juzang,UTA,24,64,1267.2,19.8,0.3,0.8,1.1,0.3,0.1,0.4,69.6,30.4,0.03,2.1,1.4,3.4
Larry Nance Jr.,ATL,32,23,455.4,19.8,1.2,2.9,2.2,0.3,0.1,0.4,66.7,33.3,0.3,2.1,1.5,3.6
Marcus Garrett,CHA,26,4,79.2,19.8,0,0,2,0,0,0,0,0,0,1,0.5,1.5
Sam Merrill,CLE,29,71,1398.7,19.7,0.4,1,1.4,0.1,0.1,0.3,47.4,52.6,0.13,1.8,0.8,2.6
Alex Caruso,OKC,31,53,1038.8,19.6,0.6,1.4,3.5,0.2,0.3,0.5,38.5,61.5,0.15,1.4,1.7,3.1
Cole Anthony,ORL,25,61,1195.6,19.6,0.3,0.6,1.5,0.3,0.3,0.6,57.1,42.9,0.05,1.5,1,2.5
Kevin Porter Jr.,MIL,25,74,1450.4,19.6,0.1,0.3,1.8,0.2,0.3,0.5,35.1,64.9,0,1.4,1.3,2.7
Obi Toppin,IND,27,79,1548.4,19.6,0.8,1.8,1.1,0.1,0.1,0.3,50,50,0,1.7,1.4,3.1
Trey Lyles,SAC,29,69,1352.4,19.6,0.9,2.1,1.1,0.2,0.2,0.4,53.6,46.4,0.14,2.3,1.7,4
Bismack Biyombo,SAS,32,27,526.5,19.5,3.4,7.7,1.1,0.1,0.4,0.5,15.4,84.6,0,4.9,0.7,5.7
Javonte Green,CLE,31,63,1228.5,19.5,0.5,1.2,2.6,0.3,0.2,0.5,54.8,45.2,0.02,1.4,1.2,2.6
Jaxson Hayes,LAL,25,56,1092,19.5,2.2,5.4,1.4,0.3,0.2,0.5,59.3,40.7,0.02,4.2,1.7,5.9
Jeff Dowtin Jr.,PHI,28,28,546,19.5,0.1,0.4,1.6,0,0.3,0.3,12.5,87.5,0,1.1,0.8,1.9
Ryan Dunn,PHX,22,71,1384.5,19.5,0.3,0.7,1.4,0.3,0.1,0.4,66.7,33.3,0,2.4,2,4.5
Ben Sheppard,IND,23,62,1202.8,19.4,0.1,0.2,1.2,0.2,0.2,0.5,48.3,51.7,0,1.5,1.1,2.6
Isaac Okoro,CLE,24,54,1047.6,19.4,0.7,1.8,0.9,0.2,0.2,0.5,50,50,0.04,1.8,1.5,3.3
Moritz Wagner,ORL,28,29,562.6,19.4,1.9,4.2,2.5,0.2,0.1,0.4,63.6,36.4,0.17,2.1,1.1,3.2
Dru Smith,MIA,27,14,268.8,19.2,0.2,0.6,3.3,0.3,0.4,0.7,40,60,0.29,1.7,1.4,3.1
Jared Butler,PHI,24,52,998.4,19.2,0,0.1,1.7,0.1,0.3,0.4,38.1,61.9,0.04,1.1,1.5,2.6
Garrison Mathews,ATL,28,42,802.2,19.1,0.2,0.4,1.1,0.2,0.1,0.3,66.7,33.3,0.24,1.6,1.4,3
Kyle Lowry,PHI,39,34,649.4,19.1,0.5,1.2,1.9,0.1,0.3,0.4,33.3,66.7,0.18,0.9,0.7,1.6
Jeremiah Robinson-Earl,NOP,24,65,1235,19,0.7,1.6,1.1,0.2,0.3,0.5,48.4,51.6,0,1.9,1.9,3.8
Ricky Council IV,PHI,23,63,1197,19,0.3,0.6,1.4,0.2,0.1,0.3,65,35,0.02,0.9,1.1,2
Antonio Reeves,NOP,22,28,529.2,18.9,0,0.1,0.9,0.2,0.2,0.4,54.5,45.5,0,0.7,1.3,1.9
Brandon Clarke,MEM,28,64,1209.6,18.9,1.1,2.6,1.6,0.2,0.3,0.4,42.9,57.1,0.05,3,1.8,4.8
Luke Kornet,BOS,29,72,1360.8,18.9,2.3,5.9,0.9,0.1,0.1,0.3,50,50,0,5.7,1.9,7.6
Micah Potter,UTA,27,37,699.3,18.9,0.6,1.4,0.8,0.1,0.1,0.2,55.6,44.4,0.03,3.2,2.4,5.6
Andre Drummond,PHI,31,40,752,18.8,2.3,5.2,1.7,0.3,0.1,0.4,64.7,35.3,0,3.1,2,5
Cam Reddish,LAL,25,31,582.8,18.8,0.3,0.6,2.2,0.2,0.4,0.6,31.6,68.4,0,0.7,1.2,2
Jonas Valančiūnas,SAC,33,81,1522.8,18.8,2.7,6.3,0.9,0.2,0.1,0.3,80,20,0,3.9,1.5,5.3
Karlo Matković,NOP,24,42,789.6,18.8,1.7,4,1.5,0.1,0.3,0.5,31.6,68.4,0,4.9,1.8,6.8
Colin Castleton,TOR,25,23,430.1,18.7,1.2,2.7,0.6,0.2,0.1,0.3,66.7,33.3,0,3.2,2.1,5.3
Jordan Goodwin,LAL,26,29,542.3,18.7,0.4,1,2.1,0.3,0.4,0.7,40,60,0,1,0.8,1.8
Josh Richardson,MIA,31,8,149.6,18.7,0.4,0.9,1.4,0.1,0,0.1,100,0,0,0.9,1,1.9
Maxi Kleber,LAL,33,34,635.8,18.7,1.3,3.1,0.9,0.2,0.1,0.3,66.7,33.3,0,3.8,1.9,5.7
Vince Williams Jr.,MEM,24,25,467.5,18.7,0.4,0.8,1.4,0.1,0.2,0.3,42.9,57.1,0.04,1.2,0.9,2.2
Dante Exum,DAL,29,20,372,18.6,0.4,1,0.7,0.1,0.2,0.3,20,80,0.1,1.3,1.1,2.4
Jaylen Sims,CHA,26,6,111.6,18.6,0.5,1.3,0.7,0,0.2,0.2,0,100,0,1,1.5,2.5
Jamison Battle,TOR,24,56,1036,18.5,0.2,0.5,0.6,0.2,0.1,0.3,60,40,0.02,1.4,1.1,2.6
Keaton Wallace,ATL,26,27,491.4,18.2,0.4,1,2,0.2,0.1,0.3,55.6,44.4,0,1.4,1.7,3.1
